date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2019-09-01,0.5454545454545454,0.6577272727272727,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-01,0.2857142857142857,0.9165714285714287,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-01,0.2222222222222222,0.7541000000000001,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,0.5714285714285714,0.9863785714285715,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,1.0,0.9413692307692307,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0.5294117647058824,0.7993941176470589,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,0.3333333333333333,0.7463666666666665,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-01,0.7777777777777778,0.8696111111111112,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-01,0.125,0.38381875,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-01,0.8181818181818182,0.8524272727272727,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-01,0.6666666666666666,0.8292733333333332,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-01,0.6,0.9923733333333332,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-01,0.8571428571428571,0.8298285714285714,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-01,0.6363636363636364,0.9889,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-01,0.5555555555555556,0.9854222222222222,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-01,0.36363636363636365,0.8648181818181818,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2021-01-01,0.45454545454545453,0.8010909090909092,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0.5,0.9737750000000002,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-01,0.8571428571428571,0.985392857142857,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-01,0.3333333333333333,0.9514666666666667,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-01,0.9230769230769231,0.8895076923076923,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-01,0.7333333333333333,0.8476533333333334,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2021-07-01,0.6666666666666666,0.809125,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2021-08-01,0.6923076923076923,0.7046846153846154,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-01,0.7142857142857143,0.7536714285714285,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-01,1.0,0.9929,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2021-11-01,1.0,0.9965,11.0,0,0,0,0,0,0,0,0,0,0,1,0
